date,split,exercise,set no.,weight,reps
2022-01-23,back_and_biceps,wide_grip_pullup,1,'0 kg',5
2022-01-23,back_and_biceps,chinup,1,'0 kg',5
2022-01-23,back_and_biceps,chinup,2,'0 kg',5
2022-01-23,back_and_biceps,seated_row,1,'50 kg',10
2022-01-23,back_and_biceps,seated_row,2,'50 kg',10
2022-01-23,back_and_biceps,seated_row,3,'50 kg',10
2022-01-23,back_and_biceps,seated_row,4,'50 kg',10
2022-01-23,back_and_biceps,diverging_pulldown,1,'50 kg',12
2022-01-23,back_and_biceps,diverging_pulldown,2,'70 kg',8
2022-01-23,back_and_biceps,diverging_pulldown,3,'70 kg',8
2022-01-23,back_and_biceps,diverging_pulldown,4,'70 kg',8
2022-01-23,back_and_biceps,diverging_seated_row,1,'60 kg',10
2022-01-23,back_and_biceps,diverging_seated_row,2,'60 kg',10
2022-01-23,back_and_biceps,diverging_seated_row,3,'60 kg',10
2022-01-23,back_and_biceps,diverging_seated_row,4,'60 kg',8
2022-01-23,back_and_biceps,face_pull,1,'20 kg',10
2022-01-23,back_and_biceps,face_pull,2,'23 kg',10
2022-01-23,back_and_biceps,face_pull,3,'27 kg',10
2022-01-23,back_and_biceps,face_pull,4,'32 kg',10
2022-01-23,back_and_biceps,barbell_curl,1,'35 kg',10
2022-01-23,back_and_biceps,barbell_curl,2,'35 kg',6
